Date,Pl0,Pl1,Pl0_last_7,Pl0_last_20,Pl1_last_7,Pl1_last_20
2007-01-09,Nakamura A.,Bardina V.,0.5,0.5,1.0,1.0
2007-01-09,Chakvetadze A.,Poutchkova O.,1.0,1.0,0.5,0.5
2007-01-09,Oprandi R.,Mirza S.,0.5,0.5,1.0,1.0
2007-01-09,Molik A.,Bondarenko A.,1.0,1.0,1.0,1.0
2007-01-10,Castano C.,Bardina V.,0.8,0.8,1.0,1.0
2007-01-10,Mirza S.,Molik A.,1.0,1.0,1.0,1.0
2007-01-10,Zheng J.,Chakvetadze A.,1.0,1.0,1.0,1.0
2007-01-10,Bammer S.,Williams S.,0.67,0.67,1.0,1.0
2007-01-11,Bammer S.,Bardina V.,0.75,0.75,1.0,1.0
2007-01-11,Chakvetadze A.,Mirza S.,1.0,1.0,1.0,1.0
2007-01-12,Bardina V.,Chakvetadze A.,1.0,1.0,1.0,1.0
2007-01-07,Ivanovic A.,Dellacqua C.,0.67,0.67,0.0,0.0
2007-01-07,Schiavone F.,Li N.,0.0,0.0,0.5,0.5
2007-01-07,Peer S.,Groenefeld A.L.,0.75,0.75,0.0,0.0
2007-01-07,Hantuchova D.,Vaidisova N.,0.5,0.5,0.0,0.0
2007-01-08,Stosur S.,Zvonareva V.,0.67,0.67,0.8,0.8
2007-01-08,Peng S.,Golovin T.,0.0,0.0,0.0,0.0
2007-01-08,Fedak Y.,Bartoli M.,0.0,0.0,0.5,0.5
2007-01-08,Dushevina V.,Schnyder P.,0.0,0.0,0.0,0.0
2007-01-08,Srebotnik K.,Bovina E.,0.5,0.5,0.0,0.0
2007-01-08,Hingis M.,Jankovic J.,0.8,0.8,1.0,1.0
2007-01-08,Dementieva E.,Sugiyama A.,0.0,0.0,0.0,0.0
2007-01-08,Safina D.,Pratt N.,1.0,1.0,0.5,0.5
2007-01-09,Jankovic J.,Stosur S.,1.0,1.0,0.75,0.75
2007-01-09,Golovin T.,Mauresmo A.,1.0,1.0,0.0,0.0
2007-01-09,Peer S.,Schnyder P.,0.8,0.8,1.0,1.0
2007-01-09,Dementieva E.,Li N.,1.0,1.0,0.67,0.67
2007-01-09,Clijsters K.,Pratt N.,0.0,0.0,0.67,0.67
2007-01-09,Fedak Y.,Vaidisova N.,0.5,0.5,1.0,1.0
2007-01-09,Srebotnik K.,Kuznetsova S.,0.67,0.67,0.0,0.0
2007-01-09,Petrova N.,Ivanovic A.,0.0,0.0,0.75,0.75
2007-01-10,Clijsters K.,Peer S.,1.0,1.0,0.83,0.83
2007-01-10,Srebotnik K.,Li N.,0.75,0.75,0.75,0.75
2007-01-10,Jankovic J.,Mauresmo A.,1.0,1.0,1.0,1.0
2007-01-10,Ivanovic A.,Vaidisova N.,0.8,0.8,1.0,1.0
2007-01-11,Clijsters K.,Li N.,1.0,1.0,0.8,0.8
2007-01-11,Vaidisova N.,Jankovic J.,1.0,1.0,1.0,1.0
2007-01-12,Clijsters K.,Jankovic J.,1.0,1.0,1.0,1.0
2007-01-15,Perry S.,Mauresmo A.,0.0,0.0,0.5,0.5
2007-01-15,Tu M.,Gallovits E.,0.0,0.0,0.0,0.0
2007-01-15,Domachowska M.,Poutchkova O.,0.0,0.0,0.5,0.5
2007-01-15,Sequera M.,Gajdosova J.,0.5,0.5,0.0,0.0
2007-01-15,Oprandi R.,Peer S.,0.33,0.33,0.71,0.71
2007-01-15,Ondraskova Z.,Fernandez C.,0.0,0.0,0.0,0.0
2007-01-15,Sprem K.,Kirilenko M.,0.0,0.0,0.33,0.33
2007-01-15,Benesova I.,Voskoboeva G.,0.0,0.0,0.0,0.0
2007-01-15,Pous Tio L.,Yakimova A.,0.0,0.0,0.0,0.0
2007-01-15,Azarenka V.,Fedak Y.,0.0,0.0,0.33,0.33
2007-01-15,Cravero J.,Muller M.,0.0,0.0,0.0,0.0
2007-01-15,Golovin T.,Smashnovai A.,0.5,0.5,0.0,0.0
2007-01-15,Likhovtseva E.,Vakulenko J.,0.0,0.0,0.0,0.0
2007-01-15,Dementieva E.,Foretz S.,0.5,0.5,0.0,0.0
2007-01-15,Flipkens K.,Camerin M.E.,0.0,0.0,0.0,0.0
2007-01-15,Sugiyama A.,Arvidsson S.,0.0,0.0,0.0,0.0
2007-01-15,Craybas J.,Vaidisova N.,0.75,0.75,0.75,0.75
2007-01-15,Srebotnik K.,Dellacqua C.,0.6,0.6,0.0,0.0
2007-01-15,Medina Garrigues A.,Vesnina E.,0.5,0.5,0.5,0.5
2007-01-15,Jankovic J.,Wozniak A.,0.86,0.9,0.0,0.0
2007-01-15,Sucha M.,Birnerova E.,0.0,0.0,0.0,0.0
2007-01-15,Ruano Pascual V.,Czink M.,0.0,0.0,0.0,0.0
2007-01-15,Dushevina V.,Bartoli M.,0.0,0.0,0.33,0.33
2007-01-15,Safarova L.,Brianti A.,0.5,0.5,0.0,0.0
2007-01-15,Sun T.T.,Dulko G.,0.5,0.5,0.33,0.33
2007-01-15,Petrova N.,Tanasugarn T.,0.0,0.0,0.0,0.0
2007-01-15,Kloesel S.,Schiavone F.,0.0,0.0,0.0,0.0
2007-01-15,Schruff J.,Zheng J.,0.0,0.0,0.67,0.67
2007-01-15,Moore J.,Kuznetsova S.,0.0,0.0,0.0,0.0
2007-01-15,Adamczak M.,Tulyaganova I.,0.0,0.0,0.0,0.0
2007-01-15,Krajicek M.,Kremer A.,0.0,0.0,0.0,0.0
2007-01-15,Williams S.,Santangelo M.,0.67,0.67,0.5,0.5
2007-01-16,Pin C.,Sharapova M.,0.75,0.75,0.0,0.0
2007-01-16,Rodionova A.,Vinci R.,0.0,0.0,0.0,0.0
2007-01-16,Savchuk O.,Mirza S.,0.0,0.0,0.75,0.75
2007-01-16,Ivanovic A.,King V.,0.67,0.67,0.0,0.0
2007-01-16,Bammer S.,Chakvetadze A.,0.6,0.6,1.0,1.0
2007-01-16,Granville L.,Beygelzimer Y.,0.5,0.5,0.0,0.0
2007-01-16,Ferguson S.,Kostanic J.,0.5,0.5,0.0,0.0
2007-01-16,Stosur S.,Zakopalova K.,0.6,0.6,0.0,0.0
2007-01-16,Laine E.,Kudryavtseva A.,0.5,0.5,0.0,0.0
2007-01-16,Radwanska A.,Lepchenko V.,0.0,0.0,0.0,0.0
2007-01-16,Daniilidou E.,Nakamura A.,0.67,0.67,0.33,0.33
2007-01-16,Voracova R.,Shaughnessy M.,0.0,0.0,0.0,0.0
2007-01-16,Pratt N.,Razzano V.,0.5,0.5,0.67,0.67
2007-01-16,Bondarenko A.,Cohen Aloro S.,0.5,0.5,0.0,0.0
2007-01-16,Gagliardi E.,Garbin T.,0.0,0.0,0.75,0.75
2007-01-16,Clijsters K.,Bardina V.,1.0,1.0,0.8,0.8
2007-01-16,Pironkova T.,Morigami A.,0.0,0.0,0.0,0.0
2007-01-16,Hingis M.,Dechy N.,0.67,0.67,0.0,0.0
2007-01-16,Pennetta F.,Kanepi K.,0.0,0.0,0.0,0.0
2007-01-16,Molik A.,Chan Y.J.,0.67,0.67,0.0,0.0
2007-01-17,Klepac A.,Peng S.,0.0,0.0,0.0,0.0
2007-01-17,Schnyder P.,Brengle M.,0.5,0.5,0.0,0.0
2007-01-17,Obziler T.,Zvonareva V.,0.0,0.0,0.67,0.67
2007-01-17,Paszek T.,Bremond S.,0.0,0.0,0.5,0.5
2007-01-17,Bychkova E.,Safina D.,0.0,0.0,0.83,0.83
2007-01-17,Fedossova Y.,Castano C.,0.0,0.0,0.67,0.67
2007-01-17,Rolle A.,Dominguez Lino L.,0.0,0.0,0.0,0.0
2007-01-17,Li N.,Bovina E.,0.67,0.67,0.0,0.0
2007-01-17,Zahlavova S.,Groenefeld A.L.,0.0,0.0,0.0,0.0
