Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
Djokovic N.,Tsonga J.W.,0.0,0.84,0.16,1.18,4.89,1.22,5.6,1.19,6.25,0.024590163934426253,-0.10400000000000005
Del Potro J.M.,Federer R.,1.0,0.24,0.76,3.27,1.33,3.6,1.38,4.17,1.32,-0.13669064748201434,0.0434782608695651
Nadal R.,Almagro N.,0.0,0.91,0.09,1.03,12.72,1.05,18.0,1.1,11.11,-0.04545454545454549,0.38277777777777783
Murray A.,Ferrer D.,1.0,0.75,0.25,2.59,1.5,2.9,1.57,1.33,4.0,0.5413793103448276,-0.6074999999999999
Nadal R.,Ferrer D.,0.0,0.87,0.13,1.07,8.43,1.1,11.0,1.15,7.69,-0.043478260869565064,0.30090909090909085
Federer R.,Djokovic N.,1.0,0.51,0.49,2.47,1.54,2.65,1.63,1.96,2.04,0.26037735849056604,-0.2009803921568628
Nadal R.,Djokovic N.,0.0,0.58,0.42,1.27,3.79,1.31,4.36,1.72,2.38,-0.23837209302325577,0.45412844036697253
Nieminen J.,Kubot L.,1.0,0.5,0.5,1.7,2.09,1.83,2.23,2.0,2.0,-0.08499999999999996,0.10313901345291479
Stebe C.M.,Berlocq C.,0.0,0.59,0.41,1.37,2.99,1.42,3.5,1.69,2.44,-0.15976331360946747,0.3028571428571429
Kamke T.,Zhang Z.,1.0,0.68,0.32,1.24,3.92,1.29,4.73,1.47,3.12,-0.12244897959183669,0.3403805496828753
Youzhny M.,Haase R.,0.0,0.77,0.23,1.43,2.74,1.52,3.05,1.3,4.35,0.14473684210526314,-0.29885057471264365
Brown D.,Kohlschreiber P.,1.0,0.21,0.79,5.64,1.13,6.5,1.16,4.76,1.27,0.26769230769230773,-0.08661417322834654
Raonic M.,Petzschner P.,0.0,0.73,0.27,1.22,4.16,1.33,5.7,1.37,3.7,-0.029197080291970826,0.3508771929824561
Seppi A.,Stepanek R.,1.0,0.43,0.57,1.65,2.18,1.75,2.28,2.33,1.75,-0.24892703862660948,0.23245614035087714
Granollers M.,Zverev M.,0.0,0.52,0.48,1.9,1.84,2.0,1.93,1.92,2.08,0.040000000000000036,-0.07211538461538468
Smyczek T.,Mayer F.,1.0,0.11,0.89,3.55,1.28,4.2,1.33,9.09,1.12,-0.5379537953795379,0.15789473684210523
Lacko L.,Kravchuk K.,0.0,0.87,0.13,1.32,3.28,1.35,3.63,1.15,7.69,0.14814814814814828,-0.5279583875162549
Becker B.,Troicki V.,1.0,0.32,0.68,1.65,2.2,1.87,2.43,3.12,1.47,-0.4006410256410256,0.39506172839506176
Haas T.,Tomic B.,0.0,0.6,0.4,2.0,1.77,2.1,1.83,1.67,2.5,0.20476190476190484,-0.26799999999999996
Zhang Z.,Raonic M.,1.0,0.11,0.89,12.96,1.03,24.62,1.05,9.09,1.12,0.6307879772542648,-0.06250000000000006
Youzhny M.,Dolgopolov O.,0.0,0.54,0.46,1.35,3.09,1.4,3.41,1.85,2.17,-0.24324324324324334,0.3636363636363637
Troicki V.,Berdych T.,1.0,0.17,0.83,6.01,1.12,7.16,1.14,5.88,1.2,0.17877094972067042,-0.050000000000000044
