Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
De Bakker T.,Falla A.,0.0,0.62,0.38,1.52,2.46,1.62,2.79,1.61,2.63,0.006172839506172844,0.057347670250896106
Starace P.,Hajek J.,1.0,0.67,0.33,1.34,3.12,1.4,3.64,1.49,3.03,-0.06040268456375844,0.16758241758241765
Schwank E.,Fognini F.,0.0,0.35,0.65,1.99,1.77,2.14,1.85,2.86,1.54,-0.25174825174825166,0.16756756756756758
Rochus C.,Garcia-Lopez G.,1.0,0.32,0.68,3.02,1.36,3.25,1.45,3.12,1.47,0.039999999999999966,-0.01360544217687076
Bellucci T.,Nieminen J.,0.0,0.58,0.42,1.46,2.63,1.5,3.09,1.72,2.38,-0.12790697674418602,0.2297734627831715
Krajinovic F.,Chela J.I.,1.0,0.16,0.84,5.5,1.13,6.76,1.18,6.25,1.19,0.07544378698224849,-0.008403361344537823
Hernandez O.,Marchenko I.,0.0,0.65,0.35,1.45,2.65,1.52,3.03,1.54,2.86,-0.012987012987012998,0.056105610561056084
Ventura S.,Almagro N.,1.0,0.13,0.87,7.15,1.09,9.1,1.11,7.69,1.15,0.15494505494505487,-0.034782608695652015
Cuevas P.,Zeballos H.,0.0,0.63,0.37,1.97,1.77,2.15,1.87,1.59,2.7,0.2604651162790697,-0.3074074074074074
Kubot L.,Granollers M.,1.0,0.42,0.58,2.15,1.66,2.42,1.75,2.38,1.72,0.016528925619834725,0.017142857142857158
Greul S.,Riba P.,0.0,0.64,0.36,2.06,1.72,2.3,1.78,1.56,2.78,0.3217391304347825,-0.35971223021582727
Andreev I.,Gasquet R.,1.0,0.37,0.63,1.7,2.09,1.82,2.35,2.7,1.59,-0.32592592592592595,0.3234042553191489
Istomin D.,Robert S.,0.0,0.59,0.41,2.86,1.4,3.2,1.44,1.69,2.44,0.47187500000000004,-0.4098360655737705
Monaco J.,Gimeno-Traver D.,1.0,0.76,0.24,1.27,3.56,1.36,4.27,1.32,4.17,0.029411764705882377,0.023419203747072518
Chardy J.,Montanes A.,0.0,0.58,0.42,3.42,1.29,4.0,1.35,1.72,2.38,0.5700000000000001,-0.43277310924369744
Ilhan M.,Hewitt L.,1.0,0.06,0.94,3.72,1.26,4.25,1.35,16.67,1.06,-0.7450509898020397,0.21481481481481482
Ramos-Vinolas A.,Russell M.,0.0,0.61,0.39,1.61,2.24,1.7,2.49,1.64,2.56,0.03529411764705886,-0.027343749999999938
Lapentti N.,Melzer J.,1.0,0.36,0.64,1.99,1.79,3.0,1.95,2.78,1.56,0.0733333333333334,0.19999999999999996
Stakhovsky S.,Zverev M.,0.0,0.63,0.37,2.05,1.73,2.39,1.87,1.59,2.7,0.33472803347280333,-0.3074074074074074
Robredo T.,Bolelli S.,1.0,0.85,0.15,1.13,5.54,1.17,6.54,1.18,6.67,-0.00847457627118645,-0.019490254872563704
Gulbis E.,Luczak P.,0.0,0.8,0.2,1.36,3.02,1.42,3.55,1.25,5.0,0.11971830985915488,-0.29000000000000004
Kukushkin M.,Martin A.,1.0,0.37,0.63,1.73,2.0,1.73,2.0,2.7,1.59,-0.35925925925925933,0.20499999999999996
Lopez F.,Dolgopolov O.,0.0,0.53,0.47,1.63,2.22,1.77,2.5,1.89,2.13,-0.06349206349206343,0.14800000000000005
Beck A.,Hanescu V.,1.0,0.18,0.82,3.75,1.25,4.15,1.35,5.56,1.22,-0.25359712230215814,0.09629629629629638
Navarro-Pastor I.,Cuevas P.,0.0,0.2,0.8,3.47,1.29,4.0,1.35,5.0,1.25,-0.2,0.07407407407407414
Greul S.,Almagro N.,1.0,0.14,0.86,5.42,1.13,6.6,1.18,7.14,1.16,-0.07563025210084034,0.0169491525423729
Soderling R.,Chela J.I.,0.0,0.63,0.37,1.27,3.57,1.33,4.0,1.59,2.7,-0.16352201257861634,0.32499999999999996
Gimeno-Traver D.,De Bakker T.,1.0,0.44,0.56,2.09,1.7,2.3,1.88,2.27,1.79,0.013043478260869481,0.047872340425531845
Garcia-Lopez G.,Gabashvili T.,0.0,0.71,0.29,1.25,3.72,1.33,4.3,1.41,3.45,-0.056737588652482164,0.1976744186046511
Hewitt L.,Schwank E.,1.0,0.86,0.14,1.7,2.09,1.78,2.32,1.16,7.14,0.3483146067415731,-0.6750700280112045
Tsonga J.W.,Hajek J.,0.0,0.91,0.09,1.19,4.44,1.25,6.0,1.1,11.11,0.11999999999999993,-0.4599459945994599
Hernandez O.,Melzer J.,1.0,0.31,0.69,3.09,1.35,3.57,1.4,3.23,1.45,0.0952380952380952,-0.03448275862068969
Gulbis E.,Chardy J.,0.0,0.51,0.49,1.67,2.13,1.75,2.35,1.96,2.04,-0.10714285714285712,0.1319148936170213
Granollers M.,Ferrer D.,1.0,0.2,0.8,5.96,1.12,7.58,1.15,5.0,1.25,0.3403693931398417,-0.08000000000000007
Bellucci T.,Hanescu V.,0.0,0.55,0.45,1.76,1.99,1.87,2.25,1.82,2.22,0.026737967914438526,0.013333333333333246
Gonzalez F.,Ramos-Vinolas A.,1.0,0.84,0.16,1.11,6.14,1.14,8.36,1.19,6.25,-0.042016806722689114,0.2523923444976076
Ferrero J.C.,Stakhovsky S.,0.0,0.91,0.09,1.06,8.27,1.08,11.88,1.1,11.11,-0.018181818181818195,0.06481481481481492
Martin A.,Bolelli S.,1.0,0.51,0.49,2.34,1.57,2.65,1.65,1.96,2.04,0.26037735849056604,-0.19117647058823536
Verdasco F.,Gasquet R.,0.0,0.61,0.39,1.27,3.61,1.32,4.0,1.64,2.56,-0.19512195121951212,0.36
Istomin D.,Lopez F.,1.0,0.32,0.68,2.89,1.39,3.1,1.47,3.12,1.47,-0.006410256410256416,0.0
Schwank E.,Navarro-Pastor I.,0.0,0.61,0.39,1.35,3.08,1.4,3.75,1.64,2.56,-0.14634146341463414,0.3173333333333333
Garcia-Lopez G.,Bellucci T.,1.0,0.46,0.54,2.9,1.39,3.4,1.43,2.17,1.85,0.36176470588235293,-0.2270270270270271
Ferrer D.,Bolelli S.,0.0,0.88,0.12,1.07,7.77,1.1,10.5,1.14,8.33,-0.03508771929824545,0.20666666666666667
Ferrero J.C.,De Bakker T.,1.0,0.85,0.15,1.11,6.14,1.15,7.03,1.18,6.67,-0.025423728813559344,0.051209103840682835
Tsonga J.W.,Almagro N.,0.0,0.69,0.31,2.11,1.69,2.31,1.87,1.45,3.23,0.37229437229437234,-0.42105263157894735
Melzer J.,Verdasco F.,1.0,0.26,0.74,4.9,1.16,6.08,1.2,3.85,1.35,0.3667763157894737,-0.1111111111111112
Gulbis E.,Ramos-Vinolas A.,0.0,0.58,0.42,1.32,3.25,1.36,3.8,1.72,2.38,-0.20930232558139528,0.3736842105263158
Lopez F.,Soderling R.,1.0,0.38,0.62,4.17,1.22,4.68,1.26,2.63,1.61,0.43803418803418803,-0.21739130434782614
Ferrer D.,Bellucci T.,0.0,0.8,0.2,1.18,4.65,1.23,5.53,1.25,5.0,-0.016000000000000014,0.09584086799276677
Gulbis E.,Verdasco F.,1.0,0.32,0.68,2.91,1.39,3.25,1.45,3.12,1.47,0.039999999999999966,-0.01360544217687076
Soderling R.,Schwank E.,0.0,0.87,0.13,1.15,5.27,1.17,6.46,1.15,7.69,0.01709401709401711,-0.15994798439531865
Tsonga J.W.,De Bakker T.,1.0,0.86,0.14,1.36,3.03,1.46,3.75,1.16,7.14,0.20547945205479456,-0.47478991596638653
Verdasco F.,Ferrer D.,0.0,0.43,0.57,2.16,1.66,2.5,1.8,2.33,1.75,0.06799999999999998,0.0277777777777778
De Bakker T.,Soderling R.,1.0,0.21,0.79,4.58,1.18,5.7,1.22,4.76,1.27,0.16491228070175445,-0.039370078740157514
Verdasco F.,Soderling R.,0.0,0.4,0.6,2.39,1.56,2.63,1.65,2.5,1.67,0.04942965779467677,-0.011976047904191628
Berrer M.,Hanescu V.,1.0,0.3,0.7,2.82,1.4,3.25,1.47,3.33,1.43,-0.024024024024024045,0.02721088435374152
Chardy J.,Tipsarevic J.,0.0,0.55,0.45,1.69,2.08,1.8,2.2,1.82,2.22,-0.010989010989010999,-0.009009009009009016
Fognini F.,Seppi A.,1.0,0.42,0.58,2.69,1.43,2.88,1.51,2.38,1.72,0.1736111111111111,-0.12209302325581393
Lorenzi P.,Montanes A.,0.0,0.33,0.67,4.84,1.16,6.1,1.21,3.03,1.49,0.5032786885245901,-0.18791946308724833
Zeballos H.,Isner J.,1.0,0.23,0.77,1.67,2.13,1.77,2.25,4.35,1.3,-0.593103448275862,0.4222222222222222
Giraldo S.,Ferrero J.C.,0.0,0.17,0.83,5.27,1.14,6.5,1.2,5.88,1.2,0.0953846153846154,0.0
Cuevas P.,Kohlschreiber P.,1.0,0.33,0.67,3.3,1.31,3.82,1.4,3.03,1.49,0.2068062827225131,-0.06040268456375844
Gulbis E.,Baghdatis M.,0.0,0.62,0.38,1.58,2.3,1.75,2.63,1.61,2.63,0.07999999999999995,0.0
Querrey S.,Benneteau J.,1.0,0.54,0.46,1.51,2.48,1.6,2.85,1.85,2.17,-0.13513513513513511,0.23859649122807022
Starace P.,Hajek J.,0.0,0.66,0.34,1.64,2.18,1.73,2.5,1.52,2.94,0.1213872832369942,-0.1496598639455782
Chela J.I.,Garcia-Lopez G.,1.0,0.46,0.54,1.41,2.79,1.45,3.27,2.17,1.85,-0.3317972350230415,0.43425076452599387
Monaco J.,Andreev I.,0.0,0.58,0.42,1.7,2.09,1.81,2.25,1.72,2.38,0.04972375690607739,-0.05462184873949576
Beck A.,Llodra M.,1.0,0.53,0.47,2.55,1.49,2.8,1.58,1.89,2.13,0.325,-0.2582159624413145
Berdych T.,Granollers M.,0.0,0.76,0.24,1.2,4.25,1.26,4.7,1.32,4.17,-0.04545454545454549,0.11276595744680856
Mathieu P.H.,Ljubicic I.,1.0,0.38,0.62,3.04,1.35,3.5,1.41,2.63,1.61,0.2485714285714286,-0.12422360248447216
Volandri F.,Luczak P.,0.0,0.67,0.33,1.92,1.82,2.05,2.02,1.49,3.03,0.27317073170731704,-0.33333333333333326
Youzhny M.,Hewitt L.,1.0,0.29,0.71,1.45,2.64,1.57,2.9,3.45,1.41,-0.5449275362318841,0.5137931034482759
Wawrinka S.,Melzer J.,0.0,0.7,0.3,1.43,2.73,1.55,2.9,1.43,3.33,0.07741935483870975,-0.12912912912912916
Becker B.,Lopez F.,1.0,0.23,0.77,3.05,1.35,3.42,1.42,4.35,1.3,-0.21379310344827582,0.08450704225352106
Bolelli S.,Greul S.,0.0,0.57,0.43,1.68,2.13,1.91,2.41,1.75,2.33,0.08376963350785337,0.033195020746887995
De Bakker T.,Troicki V.,1.0,0.33,0.67,1.57,2.34,1.68,2.6,3.03,1.49,-0.44554455445544555,0.42692307692307696
Almagro N.,Kubot L.,0.0,0.75,0.25,1.16,4.94,1.2,6.0,1.33,4.0,-0.09774436090225572,0.3333333333333333
Mayer L.,Bellucci T.,1.0,0.44,0.56,2.64,1.46,3.05,1.53,2.27,1.79,0.2557377049180327,-0.1452513966480447
Ferrer D.,Korolev E.,0.0,0.91,0.09,1.09,6.84,1.15,8.0,1.1,11.11,0.043478260869565064,-0.2799279927992799
Monaco J.,Hanescu V.,1.0,0.61,0.39,1.6,2.27,1.74,2.4,1.64,2.56,0.05747126436781615,-0.06250000000000006
Djokovic N.,Chardy J.,0.0,0.91,0.09,1.1,6.37,1.14,8.38,1.1,11.11,0.03508771929824545,-0.2457245724572456
Federer R.,Gulbis E.,1.0,0.89,0.11,1.2,4.34,1.25,5.25,1.12,9.09,0.10399999999999991,-0.42244224422442245
Murray A.,Seppi A.,0.0,0.86,0.14,1.32,3.25,1.36,4.0,1.16,7.14,0.14705882352941188,-0.43977591036414565
Lorenzi P.,Soderling R.,1.0,0.14,0.86,8.89,1.06,12.5,1.08,7.14,1.16,0.4288,-0.06896551724137918
Volandri F.,Benneteau J.,0.0,0.37,0.63,2.08,1.7,2.35,1.85,2.7,1.59,-0.12962962962962965,0.14054054054054055
Hewitt L.,Garcia-Lopez G.,1.0,0.76,0.24,1.63,2.22,1.73,2.4,1.32,4.17,0.23699421965317916,-0.4244604316546763
Giraldo S.,Llodra M.,0.0,0.66,0.34,1.4,2.85,1.5,3.05,1.52,2.94,-0.013157894736842117,0.036065573770491764
Berdych T.,Wawrinka S.,1.0,0.57,0.43,1.79,1.95,1.99,2.1,1.75,2.33,0.12060301507537688,-0.09871244635193133
Nadal R.,Kohlschreiber P.,0.0,0.91,0.09,1.02,14.38,1.03,25.0,1.1,11.11,-0.06363636363636369,0.5556
Bolelli S.,Verdasco F.,1.0,0.11,0.89,4.83,1.16,6.0,1.2,9.09,1.12,-0.33993399339933994,0.06666666666666654
Ljubicic I.,Almagro N.,0.0,0.47,0.53,2.26,1.61,2.56,1.7,2.13,1.89,0.16796875000000006,-0.10052910052910051
Isner J.,Bellucci T.,1.0,0.54,0.46,2.8,1.41,3.01,1.45,1.85,2.17,0.38538205980066437,-0.3317972350230415
Tsonga J.W.,Troicki V.,0.0,0.82,0.18,1.32,3.24,1.37,4.0,1.22,5.56,0.1094890510948906,-0.2805755395683453
Cilic M.,Lopez F.,1.0,0.62,0.38,1.35,3.12,1.45,3.5,1.61,2.63,-0.09937888198757772,0.2485714285714286
Ferrer D.,Starace P.,0.0,0.81,0.19,1.18,4.54,1.25,5.0,1.23,5.26,0.016000000000000014,-0.04942965779467677
Bellucci T.,Djokovic N.,1.0,0.08,0.92,5.05,1.15,6.0,1.2,12.5,1.09,-0.52,0.09166666666666656
Verdasco F.,Garcia-Lopez G.,0.0,0.71,0.29,1.25,3.81,1.31,4.25,1.41,3.45,-0.07092198581560274,0.18823529411764703
Volandri F.,Gulbis E.,1.0,0.43,0.57,3.29,1.32,3.75,1.35,2.33,1.75,0.37866666666666665,-0.2285714285714285
Tsonga J.W.,Giraldo S.,0.0,0.82,0.18,1.41,2.79,1.5,3.25,1.22,5.56,0.18666666666666668,-0.41546762589928055
Ljubicic I.,Lopez F.,1.0,0.62,0.38,1.51,2.5,1.6,2.9,1.61,2.63,-0.006211180124223607,0.09310344827586207
Ferrer D.,Murray A.,0.0,0.36,0.64,1.65,2.17,1.73,2.41,2.78,1.56,-0.3776978417266187,0.35269709543568467
Soderling R.,Wawrinka S.,1.0,0.43,0.57,1.44,2.72,1.51,2.9,2.33,1.75,-0.351931330472103,0.396551724137931
Nadal R.,Hanescu V.,0.0,0.95,0.05,1.01,18.83,1.02,46.0,1.05,20.0,-0.028571428571428595,0.5652173913043478
Djokovic N.,Verdasco F.,1.0,0.87,0.13,1.53,2.43,1.68,2.62,1.15,7.69,0.3154761904761905,-0.659297789336801
Ferrer D.,Tsonga J.W.,0.0,0.48,0.52,1.41,2.8,1.47,3.4,2.08,1.92,-0.2932692307692308,0.43529411764705883
Wawrinka S.,Nadal R.,1.0,0.11,0.89,12.31,1.03,18.1,1.05,9.09,1.12,0.49779005524861886,-0.06250000000000006
Gulbis E.,Lopez F.,0.0,0.53,0.47,1.43,2.72,1.5,3.05,1.89,2.13,-0.2063492063492063,0.30163934426229505
Verdasco F.,Ferrer D.,1.0,0.39,0.61,1.99,1.78,2.11,1.91,2.56,1.64,-0.17578125000000006,0.14136125654450263
Nadal R.,Gulbis E.,0.0,0.92,0.08,1.03,11.72,1.1,17.0,1.09,12.5,0.009090909090909097,0.2647058823529412
Ferrer D.,Nadal R.,1.0,0.11,0.89,6.7,1.1,8.8,1.18,9.09,1.12,-0.03190319031903181,0.0508474576271185
Andreev I.,Kavcic B.,0.0,0.72,0.28,1.2,4.23,1.25,5.05,1.39,3.57,-0.1007194244604316,0.29306930693069305
Beck K.,Serra F.,1.0,0.19,0.81,5.35,1.14,7.0,1.2,5.26,1.23,0.2485714285714286,-0.024390243902439046
Korolev E.,Russell M.,0.0,0.69,0.31,1.58,2.29,1.67,2.56,1.45,3.23,0.13173652694610777,-0.20743034055727552
Lajovic D.,Karlovic I.,1.0,0.32,0.68,5.66,1.12,6.6,1.18,3.12,1.47,0.5272727272727272,-0.19727891156462588
Troicki V.,Navarro-Pastor I.,0.0,0.8,0.2,1.26,3.73,1.3,4.65,1.25,5.0,0.03846153846153849,-0.06999999999999992
Cipolla F.,Ouanna J.,1.0,0.31,0.69,1.92,1.82,2.0,1.95,3.23,1.45,-0.38080495356037153,0.25641025641025644
Gasquet R.,Rochus O.,0.0,0.82,0.18,1.17,4.75,1.25,5.49,1.22,5.56,0.02400000000000002,-0.012589928057553849
Skugor F.,Fognini F.,1.0,0.09,0.91,2.05,1.72,2.2,1.84,11.11,1.1,-0.801980198019802,0.4021739130434782
Krajinovic F.,Donskoy E.,0.0,0.73,0.27,1.79,1.95,1.97,2.1,1.37,3.7,0.30456852791878164,-0.43243243243243246
Mayer L.,Seppi A.,1.0,0.41,0.59,1.98,1.76,2.3,1.88,2.44,1.69,-0.05737704918032792,0.10106382978723402
Di Mauro A.,Djokovic M.,0.0,0.99,0.01,1.22,4.05,1.3,5.11,1.01,100.0,0.2230769230769231,-0.9489
Polansky P.,Zeballos H.,1.0,0.14,0.86,4.76,1.15,5.0,1.17,7.14,1.16,-0.29971988795518206,0.008547008547008555
Andreev I.,Karlovic I.,0.0,0.6,0.4,1.65,2.17,1.75,2.47,1.67,2.5,0.045714285714285756,-0.011999999999999922
Korolev E.,Querrey S.,1.0,0.41,0.59,2.18,1.64,2.4,1.8,2.44,1.69,-0.016393442622950834,0.061111111111111165
Wawrinka S.,Di Mauro A.,0.0,0.94,0.06,1.05,9.77,1.09,14.05,1.06,16.67,0.027522935779816536,-0.1571685662867427
Serra F.,Troicki V.,1.0,0.32,0.68,2.41,1.54,2.63,1.6,3.12,1.47,-0.1570512820512821,0.08125000000000007
Gasquet R.,Seppi A.,0.0,0.61,0.39,1.39,2.89,1.48,3.05,1.64,2.56,-0.09756097560975606,0.16065573770491798
Ouanna J.,Isner J.,1.0,0.2,0.8,3.21,1.33,3.55,1.39,5.0,1.25,-0.29000000000000004,0.1007194244604316
Krajinovic F.,Zeballos H.,0.0,0.37,0.63,3.87,1.24,4.55,1.3,2.7,1.59,0.40659340659340654,-0.18238993710691825
Fognini F.,Djokovic N.,1.0,0.08,0.92,11.28,1.03,16.0,1.05,12.5,1.09,0.21875,-0.03669724770642205
Isner J.,Gasquet R.,0.0,0.5,0.5,2.36,1.56,2.69,1.62,2.0,2.0,0.25650557620817843,-0.18999999999999995
Troicki V.,Wawrinka S.,1.0,0.3,0.7,3.37,1.3,4.14,1.37,3.33,1.43,0.1956521739130434,-0.04195804195804184
Querrey S.,Andreev I.,0.0,0.41,0.59,2.14,1.67,2.36,1.73,2.44,1.69,-0.03278688524590167,0.023121387283237014
Djokovic N.,Krajinovic F.,1.0,0.7,0.3,1.04,10.0,1.06,14.08,1.43,3.33,-0.2587412587412587,0.7634943181818182
Isner J.,Wawrinka S.,0.0,0.32,0.68,3.53,1.28,4.14,1.32,3.12,1.47,0.24637681159420283,-0.10204081632653056
Krajinovic F.,Querrey S.,1.0,0.15,0.85,4.11,1.21,4.6,1.25,6.67,1.18,-0.31034482758620696,0.05600000000000005
Querrey S.,Isner J.,0.0,0.42,0.58,2.2,2.02,1.82,1.75,2.38,1.72,-0.23529411764705876,0.017142857142857158
Kunitsyn I.,Clement A.,1.0,0.31,0.69,1.62,2.22,1.75,2.41,3.23,1.45,-0.4582043343653251,0.39834024896265563
Falla A.,Chela J.I.,0.0,0.25,0.75,3.42,1.29,4.15,1.35,4.0,1.33,0.036144578313253094,0.014814814814814828
Mello R.,Tavares L.,1.0,0.22,0.78,1.38,2.92,1.47,3.25,4.55,1.28,-0.676923076923077,0.6061538461538462
Granollers M.,Hernandez O.,0.0,0.68,0.32,1.47,2.6,1.56,2.8,1.47,3.12,0.057692307692307744,-0.10256410256410266
Del Bonis F.,Martin A.,1.0,0.19,0.81,1.54,2.41,1.6,2.65,5.26,1.23,-0.6958174904942965,0.5358490566037736
Phau B.,Lopez M.,0.0,0.6,0.4,2.59,1.46,2.95,1.55,1.67,2.5,0.4338983050847458,-0.38
Andujar P.,Cuevas P.,1.0,0.37,0.63,2.51,1.5,2.82,1.58,2.7,1.59,0.04255319148936158,-0.0062893081761006345
Machado R.,Massu N.,0.0,0.17,0.83,1.44,2.68,1.5,3.05,5.88,1.2,-0.7448979591836735,0.6065573770491803
Mayer F.,Gil F.,1.0,0.65,0.35,1.58,2.3,1.65,2.53,1.54,2.86,0.0666666666666666,-0.11538461538461542
Garcia-Lopez G.,Malisse X.,0.0,0.65,0.35,1.34,3.16,1.4,3.73,1.54,2.86,-0.09090909090909098,0.23324396782841825
Darcis S.,Giraldo S.,1.0,0.41,0.59,3.05,1.35,3.33,1.4,2.44,1.69,0.2672672672672673,-0.1715976331360947
Gimeno-Traver D.,Lapentti N.,0.0,0.39,0.61,1.6,2.26,1.67,2.62,2.56,1.64,-0.34765625000000006,0.3740458015267176
Granollers M.,Cuevas P.,1.0,0.34,0.66,1.71,2.07,1.8,2.44,2.94,1.52,-0.3877551020408163,0.3770491803278688
Clement A.,Falla A.,0.0,0.59,0.41,2.28,1.6,2.59,1.67,1.69,2.44,0.34749034749034746,-0.3155737704918033
Gimeno-Traver D.,Montanes A.,1.0,0.23,0.77,2.28,1.59,2.5,1.75,4.35,1.3,-0.42528735632183906,0.2571428571428571
Federer R.,Phau B.,0.0,0.96,0.04,1.02,12.12,1.04,18.08,1.04,25.0,0.0,-0.27680000000000005
Tavares L.,Garcia-Lopez G.,1.0,0.14,0.86,4.72,1.17,5.79,1.21,7.14,1.16,-0.1890756302521008,0.04132231404958681
Martin A.,Marrero D.,0.0,0.89,0.11,1.44,2.62,1.44,2.62,1.12,9.09,0.22222222222222213,-0.7117711771177118
Przysiezny M.,Machado R.,1.0,0.3,0.7,2.3,1.57,2.5,1.6,3.33,1.43,-0.24924924924924927,0.1062500000000001
Gil F.,Giraldo S.,0.0,0.39,0.61,2.36,1.55,2.5,1.66,2.56,1.64,-0.02343750000000002,0.012048192771084348
Cuevas P.,Montanes A.,1.0,0.47,0.53,2.52,1.5,2.75,1.6,2.13,1.89,0.2254545454545455,-0.15343915343915335
Federer R.,Clement A.,0.0,0.92,0.08,1.02,13.06,1.03,24.0,1.09,12.5,-0.05504587155963307,0.4791666666666667
Machado R.,Gil F.,1.0,0.22,0.78,1.97,1.78,2.16,1.91,4.55,1.28,-0.5252747252747252,0.32984293193717273
Garcia-Lopez G.,Martin A.,0.0,0.59,0.41,1.28,3.52,1.33,4.0,1.69,2.44,-0.21301775147928986,0.39
Federer R.,Montanes A.,1.0,0.9,0.1,1.12,5.83,1.18,7.0,1.11,10.0,0.059322033898304954,-0.3
Gil F.,Garcia-Lopez G.,0.0,0.48,0.52,2.64,1.46,2.95,1.57,2.08,1.92,0.29491525423728815,-0.1822916666666666
Gil F.,Montanes A.,1.0,0.38,0.62,3.03,3.3,1.36,1.45,2.63,1.61,-0.48288973384030415,-0.09937888198757772
Youzhny M.,Chardy J.,0.0,0.56,0.44,1.43,2.74,1.5,3.03,1.79,2.27,-0.16201117318435757,0.25082508250825075
Robert S.,Becker B.,1.0,0.33,0.67,1.58,2.31,1.68,2.75,3.03,1.49,-0.44554455445544555,0.4581818181818182
Beck A.,Istomin D.,0.0,0.48,0.52,1.81,1.92,1.95,2.19,2.08,1.92,-0.06250000000000006,0.12328767123287672
Benneteau J.,Petzschner P.,1.0,0.5,0.5,1.93,1.8,2.19,1.95,2.0,2.0,0.08675799086757989,-0.025000000000000022
Berdych T.,Krawietz K.,0.0,0.98,0.02,1.03,11.98,1.05,18.0,1.02,50.0,0.028571428571428595,-0.64
Gojowczyk P.,Baghdatis M.,1.0,0.15,0.85,7.17,1.08,8.91,1.12,6.67,1.18,0.25140291806958476,-0.0508474576271185
Hajek J.,Sidorenko A.,0.0,0.49,0.51,1.46,2.63,1.57,3.15,2.04,1.96,-0.23039215686274508,0.37777777777777777
Ancic M.,Koellerer D.,1.0,0.56,0.44,1.31,3.47,1.6,4.19,1.79,2.27,-0.10614525139664802,0.45823389021479716
Riba P.,Lacko L.,0.0,0.59,0.41,1.41,2.79,1.45,3.12,1.69,2.44,-0.14201183431952663,0.21794871794871798
Ascione T.,Chiudinelli M.,1.0,0.34,0.66,1.79,1.96,2.14,2.15,2.94,1.52,-0.27210884353741494,0.29302325581395344
Greul S.,Kiefer N.,0.0,0.34,0.66,1.59,2.28,1.71,2.46,2.94,1.52,-0.41836734693877553,0.38211382113821135
Berrer M.,Cilic M.,1.0,0.26,0.74,3.92,1.23,4.9,1.29,3.85,1.35,0.21428571428571433,-0.04444444444444448
Ventura S.,Dolgopolov O.,0.0,0.32,0.68,2.73,1.42,3.0,1.55,3.12,1.47,-0.03846153846153849,0.05161290322580649
Vliegen K.,Almagro N.,1.0,0.13,0.87,6.09,1.11,8.0,1.15,7.69,1.15,0.03874999999999995,0.0
Kohlschreiber P.,Brands D.,0.0,0.8,0.2,1.19,4.45,1.23,5.53,1.25,5.0,-0.016000000000000014,0.09584086799276677
Zverev M.,Anderson K.,1.0,0.16,0.84,1.95,1.79,2.1,1.9,6.25,1.19,-0.664,0.3736842105263158
Hajek J.,Becker B.,0.0,0.49,0.51,1.58,2.31,1.67,2.55,2.04,1.96,-0.1813725490196079,0.2313725490196078
Koellerer D.,Petzschner P.,1.0,0.23,0.77,2.65,1.45,2.85,1.53,4.35,1.3,-0.34482758620689646,0.1503267973856209
Berdych T.,Riba P.,0.0,0.93,0.07,1.1,6.59,1.13,8.0,1.08,14.29,0.044247787610619316,-0.4401679496151154
Beck A.,Youzhny M.,1.0,0.14,0.86,4.68,1.17,5.25,1.21,7.14,1.16,-0.2647058823529411,0.04132231404958681
Kohlschreiber P.,Ventura S.,0.0,0.78,0.22,1.08,7.12,1.13,9.1,1.28,4.55,-0.1171875000000001,0.5
Chiudinelli M.,Baghdatis M.,1.0,0.26,0.74,2.91,1.38,3.33,1.43,3.85,1.35,-0.13506493506493505,0.05594405594405584
Almagro N.,Anderson K.,0.0,0.63,0.37,1.13,5.39,1.2,6.25,1.59,2.7,-0.24528301886792458,0.568
Greul S.,Cilic M.,1.0,0.17,0.83,4.69,1.17,5.3,1.22,5.88,1.2,-0.09863945578231294,0.016393442622950834
Youzhny M.,Hajek J.,0.0,0.85,0.15,1.16,4.94,1.2,5.76,1.18,6.67,0.016666666666666684,-0.13643178410794604
Berdych T.,Petzschner P.,1.0,0.84,0.16,1.18,4.61,1.22,5.25,1.19,6.25,0.024590163934426253,-0.16
Baghdatis M.,Kohlschreiber P.,0.0,0.34,0.66,3.88,1.24,4.73,1.29,2.94,1.52,0.37843551797040176,-0.1513157894736842
Almagro N.,Cilic M.,1.0,0.47,0.53,1.97,1.78,2.14,1.9,2.13,1.89,0.00467289719626179,0.005263157894736847
Youzhny M.,Petzschner P.,0.0,0.71,0.29,1.35,3.09,1.43,3.6,1.41,3.45,0.013986013986014,0.041666666666666644
Baghdatis M.,Cilic M.,1.0,0.26,0.74,2.73,1.43,3.1,1.5,3.85,1.35,-0.19480519480519481,0.09999999999999994
Youzhny M.,Cilic M.,0.0,0.47,0.53,2.04,1.88,1.95,1.86,2.13,1.89,-0.0845070422535211,-0.01587301587301577
Korolev E.,Karlovic I.,1.0,0.41,0.59,2.29,1.59,2.43,1.8,2.44,1.69,-0.0040983606557376175,0.061111111111111165
Monaco J.,Greul S.,0.0,0.81,0.19,1.21,4.2,1.24,5.0,1.23,5.26,0.008064516129032265,-0.04942965779467677
Chardy J.,Ferrer D.,1.0,0.23,0.77,6.18,1.11,8.1,1.14,4.35,1.3,0.46296296296296297,-0.12307692307692318
