Date;Player 0;Player 1;Chance Pl0;Chance Pl1;Value on Bet 0;Value on Bet 1;Bet on Player:;Stake;Odds;Won;Profit;;;
22/04/2010;Tsonga J,W,;Almagro N,;0,697647101;0,302352899;0,380952381;-0,435045317;0;1;2,11;YES;1,11;;;
22/04/2010;Melzer J,;Verdasco F,;0,277280154;0,722719846;0,40625;-0,130434783;0;1;4,9;NO;-1;;;
22/04/2010;Gulbis E,;Ramos-Vinolas A,;0,551289636;0,448710364;-0,248618785;0,413157895;1;1;3,25;NO;-1;;;
22/04/2010;Lopez F,;Soderling R,;0,369816572;0,630183428;0,423076923;-0,20754717;0;1;4,17;NO;-1;;;
23/04/2010;Ferrer D,;Bellucci T,;0,812062106;0,187937894;0;0,037974684;1;1;4,65;NO;-1;;;
23/04/2010;Gulbis E,;Verdasco F,;0,338525296;0,661474704;0,092307692;-0,039735099;0;1;2,91;NO;-1;;;
23/04/2010;Soderling R,;Schwank E,;0,867359983;0,132640017;0,017094017;-0,143236074;0;1;1,15;YES;0,15;;;
23/04/2010;Tsonga J,W,;De Bakker T,;0,855809794;0,144190206;0,198630137;-0,459654179;0;1;1,36;NO;-1;;;
24/04/2010;Verdasco F,;Ferrer D,;0,440985688;0,559014312;0,092;0,005555556;0;1;2,16;YES;1,16;;;
24/04/2010;Verdasco F,;Ferrer D,;0,440985688;0,559014312;0,092;0,005555556;1;1;1,66;NO;-1;;;
24/04/2010;De Bakker T,;Soderling R,;0,201928885;0,798071115;0,131578947;-0,024;0;1;4,58;NO;-1;;;
25/04/2010;Verdasco F,;Soderling R,;0,385370629;0,614629371;0,015209125;0,012121212;0;1;2,39;YES;1,39;;;
25/04/2010;Verdasco F,;Soderling R,;0,385370629;0,614629371;0,015209125;0,012121212;1;1;1,56;NO;-1;;;
25/04/2010;Berrer M,;Hanescu V,;0,293106493;0,706893507;-0,046920821;0,040816327;1;1;1,4;YES;0,4;;;
25/04/2010;Chardy J,;Tipsarevic J,;0,575144496;0,424855504;0,033333333;-0,063829787;0;1;1,69;YES;0,69;;;
25/04/2010;Fognini F,;Seppi A,;0,513986177;0,486013823;0,322916667;-0,266990291;0;1;2,69;NO;-1;;;
26/04/2010;Lorenzi P,;Montanes A,;0,33042958;0,66957042;0,503278689;-0,187919463;0;1;4,84;YES;3,84;;;
26/04/2010;Zeballos H,;Isner J,;0,30161125;0,69838875;-0,46686747;0,364444444;1;1;2,13;YES;1,13;;;
26/04/2010;Giraldo S,;Ferrero J,C,;0,161430128;0,838569872;0,047692308;0,008333333;0;1;5,27;YES;4,27;;;
26/04/2010;Giraldo S,;Ferrero J,C,;0,161430128;0,838569872;0,047692308;0,008333333;1;1;1,14;NO;-1;;;
26/04/2010;Cuevas P,;Kohlschreiber P,;0,371738329;0,628261671;0,295811518;-0,119496855;0;1;3,3;NO;-1;;;
26/04/2010;Gulbis E,;Baghdatis M,;0,665841882;0,334158118;0,142857143;-0,120401338;0;1;1,58;YES;0,58;;;
26/04/2010;Querrey S,;Benneteau J,;0,593684227;0,406315773;-0,047619048;0,136842105;1;1;2,48;YES;1,48;;;
26/04/2010;Starace P,;Hajek J,;0,652629211;0,347370789;0,115606936;-0,131944444;0;1;1,64;YES;0,64;;;
26/04/2010;Chela J,I,;Garcia-Lopez G,;0,511623121;0,488376879;-0,256410256;0,373088685;1;1;2,79;YES;1,79;;;
26/04/2010;Monaco J,;Andreev I,;0,5958971;0,4041029;0,071823204;-0,089068826;0;1;1,7;YES;0,7;;;
26/04/2010;Beck A,;Llodra M,;0,495450375;0,504549625;0,278571429;-0,202020202;0;1;2,55;NO;-1;;;
26/04/2010;Berdych T,;Granollers M,;0,777586559;0,222413441;-0,023255814;0,042553191;1;1;4,25;NO;-1;;;
26/04/2010;Mathieu P,H,;Ljubicic I,;0,323787071;0,676212929;0,117142857;-0,047297297;0;1;3,04;NO;-1;;;
26/04/2010;Volandri F,;Luczak P,;0,644920334;0,355079666;0,243902439;-0,283687943;0;1;1,92;YES;0,92;;;
27/04/2010;Youzhny M,;Hewitt L,;0,287246776;0,712753224;-0,548850575;0,517241379;1;1;2,64;YES;1,64;;;
27/04/2010;Wawrinka S,;Melzer J,;0,714736934;0,285263066;0,096774194;-0,173789174;0;1;1,43;YES;0,43;;;
27/04/2010;Becker B,;Lopez F,;0,24380868;0,75619132;-0,165853659;0,070422535;1;1;1,35;YES;0,35;;;
27/04/2010;Bolelli S,;Greul S,;0,605946858;0,394053142;0,136125654;-0,051181102;0;1;1,68;YES;0,68;;;
27/04/2010;De Bakker T,;Troicki V,;0,330098132;0,669901868;-0,445544554;0,426923077;1;1;2,34;YES;1,34;;;
27/04/2010;Almagro N,;Kubot L,;0,754725902;0,245274098;-0,090909091;0,32;1;1;4,94;NO;-1;;;
27/04/2010;Mayer L,;Bellucci T,;0,492759002;0,507240998;0,33442623;-0,223350254;0;1;2,64;NO;-1;;;
27/04/2010;Ferrer D,;Korolev E,;0,907079936;0,092920064;0,043478261;-0,256505576;0;1;1,09;YES;0,09;;;
27/04/2010;Monaco J,;Hanescu V,;0,619034605;0,380965395;0,068965517;-0,083969466;0;1;1,6;NO;-1;;;
27/04/2010;Djokovic N,;Chardy J,;0,894226915;0,105773085;0,01754386;-0,113227513;0;1;1,1;YES;0,1;;;
27/04/2010;Federer R,;Gulbis E,;0,883013632;0,116986368;0,096;-0,385964912;0;1;1,2;NO;-1;;;
27/04/2010;Murray A,;Seppi A,;0,860085883;0,139914117;0,147058824;-0,440559441;0;1;1,32;YES;0,32;;;
28/04/2010;Lorenzi P,;Soderling R,;0,126211028;0,873788972;0,3664;-0,052631579;0;1;8,89;NO;-1;;;
28/04/2010;Volandri F,;Benneteau J,;0,409602817;0,590397183;-0,036885246;0,086486486;1;1;1,7;NO;-1;;;
28/04/2010;Hewitt L,;Garcia-Lopez G,;0,754480052;0,245519948;0,231213873;-0,41031941;0;1;1,63;NO;-1;;;
28/04/2010;Giraldo S,;Llodra M,;0,620482607;0,379517393;-0,068322981;0,137704918;1;1;2,85;NO;-1;;;
28/04/2010;Berdych T,;Wawrinka S,;0,54335783;0,45664217;0,075376884;-0,04109589;0;1;1,79;NO;-1;;;
28/04/2010;Nadal R,;Kohlschreiber P,;0,911099946;0,088900054;-0,063636364;0,55;1;1;14,38;NO;-1;;;
28/04/2010;Bolelli S,;Verdasco F,;0,130752855;0,869247145;-0,215686275;0,041666667;1;1;1,16;YES;0,16;;;
28/04/2010;Ljubicic I,;Almagro N,;0,522428876;0,477571124;0,25390625;-0,186602871;0;1;2,26;YES;1,26;;;
28/04/2010;Isner J,;Bellucci T,;0,601473972;0,398526028;0,448504983;-0,422310757;0;1;2,8;NO;-1;;;
28/04/2010;Tsonga J,W,;Troicki V,;0,776994529;0,223005471;0,058394161;-0,107142857;0;1;1,32;YES;0,32;;;
28/04/2010;Cilic M,;Lopez F,;0,650721338;0,349278662;-0,058441558;0,182857143;1;1;3,12;YES;2,12;;;
29/04/2010;Bellucci T,;Djokovic N,;0,08246739;0,91753261;-0,505358615;0,091666667;1;1;1,15;YES;0,15;;;
29/04/2010;Verdasco F,;Garcia-Lopez G,;0,694434513;0,305565487;-0,090277778;0,230588235;1;1;3,81;NO;-1;;;
29/04/2010;Volandri F,;Gulbis E,;0,421277519;0,578722481;0,368;-0,219653179;0;1;3,29;NO;-1;;;
29/04/2010;Tsonga J,W,;Giraldo S,;0,819719559;0,180280441;0,186666667;-0,414414414;0;1;1,41;YES;0,41;;;
29/04/2010;Ljubicic I,;Lopez F,;0,651956788;0,348043212;0,04375;0,010344828;0;1;1,51;NO;-1;;;
29/04/2010;Ljubicic I,;Lopez F,;0,651956788;0,348043212;0,04375;0,010344828;1;1;2,5;YES;1,5;;;
