Date,Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
2010-04-21,Gonzalez F.,Ramos-Vinolas A.,1.0,0.8,0.2,1.11,6.14,1.14,8.36,1.25,5.0,-0.08800000000000008,0.40191387559808606
2010-04-21,Ferrero J.C.,Stakhovsky S.,0.0,0.92,0.08,1.06,8.27,1.08,11.88,1.09,12.5,-0.009174311926605512,-0.049599999999999936
2010-04-21,Martin A.,Bolelli S.,1.0,0.5,0.5,2.34,1.57,2.65,1.65,2.0,2.0,0.2452830188679245,-0.17500000000000004
2010-04-21,Verdasco F.,Gasquet R.,0.0,0.61,0.39,1.27,3.61,1.32,4.0,1.64,2.56,-0.19512195121951212,0.36
2010-04-21,Istomin D.,Lopez F.,1.0,0.35,0.65,2.89,1.39,3.1,1.47,2.86,1.54,0.07741935483870975,-0.04545454545454549
2010-04-22,Schwank E.,Navarro-Pastor I.,0.0,0.6,0.4,1.35,3.08,1.4,3.75,1.67,2.5,-0.16167664670658685,0.3333333333333333
2010-04-22,Garcia-Lopez G.,Bellucci T.,1.0,0.5,0.5,2.9,1.39,3.4,1.43,2.0,2.0,0.4117647058823529,-0.28500000000000003
2010-04-22,Ferrer D.,Bolelli S.,0.0,0.83,0.17,1.07,7.77,1.1,10.5,1.2,5.88,-0.08333333333333323,0.44
2010-04-22,Ferrero J.C.,De Bakker T.,1.0,0.85,0.15,1.11,6.14,1.15,7.03,1.18,6.67,-0.025423728813559344,0.051209103840682835
2010-04-22,Tsonga J.W.,Almagro N.,0.0,0.7,0.3,2.11,1.69,2.31,1.87,1.43,3.33,0.380952380952381,-0.43843843843843844
2010-04-22,Melzer J.,Verdasco F.,1.0,0.27,0.73,4.9,1.16,6.08,1.2,3.7,1.37,0.3914473684210526,-0.12408759124087601
2010-04-22,Gulbis E.,Ramos-Vinolas A.,0.0,0.57,0.43,1.32,3.25,1.36,3.8,1.75,2.33,-0.2228571428571428,0.3868421052631578
2010-04-22,Lopez F.,Soderling R.,1.0,0.37,0.63,4.17,1.22,4.68,1.26,2.7,1.59,0.423076923076923,-0.2075471698113208
2010-04-23,Ferrer D.,Bellucci T.,0.0,0.81,0.19,1.18,4.65,1.23,5.53,1.23,5.26,0.0,0.04882459312839068
2010-04-23,Gulbis E.,Verdasco F.,1.0,0.34,0.66,2.91,1.39,3.25,1.45,2.94,1.52,0.0953846153846154,-0.04605263157894741
2010-04-23,Soderling R.,Schwank E.,0.0,0.87,0.13,1.15,5.27,1.17,6.46,1.15,7.69,0.01709401709401711,-0.15994798439531865
2010-04-23,Tsonga J.W.,De Bakker T.,1.0,0.86,0.14,1.36,3.03,1.46,3.75,1.16,7.14,0.20547945205479456,-0.47478991596638653
2010-04-24,Verdasco F.,Ferrer D.,0.0,0.45,0.55,2.16,1.66,2.5,1.8,2.22,1.82,0.11199999999999992,-0.010989010989010999
2010-04-24,De Bakker T.,Soderling R.,1.0,0.2,0.8,4.58,1.18,5.7,1.22,5.0,1.25,0.12280701754385967,-0.02400000000000002
2010-04-25,Verdasco F.,Soderling R.,0.0,0.39,0.61,2.39,1.56,2.63,1.65,2.56,1.64,0.02661596958174899,0.006060606060606067
2010-04-25,Berrer M.,Hanescu V.,1.0,0.29,0.71,2.82,1.4,3.25,1.47,3.45,1.41,-0.05797101449275367,0.04081632653061228
2010-04-25,Chardy J.,Tipsarevic J.,0.0,0.57,0.43,1.69,2.08,1.8,2.2,1.75,2.33,0.0277777777777778,-0.05579399141630897
2010-04-25,Fognini F.,Seppi A.,1.0,0.52,0.48,2.69,1.43,2.88,1.51,1.92,2.08,0.3333333333333333,-0.27403846153846156
2010-04-26,Lorenzi P.,Montanes A.,0.0,0.34,0.66,4.84,1.16,6.1,1.21,2.94,1.52,0.5180327868852459,-0.20394736842105265
2010-04-26,Zeballos H.,Isner J.,1.0,0.3,0.7,1.67,2.13,1.77,2.25,3.33,1.43,-0.46846846846846846,0.36444444444444446
2010-04-26,Giraldo S.,Ferrero J.C.,0.0,0.17,0.83,5.27,1.14,6.5,1.2,5.88,1.2,0.0953846153846154,0.0
2010-04-26,Cuevas P.,Kohlschreiber P.,1.0,0.38,0.62,3.3,1.31,3.82,1.4,2.63,1.61,0.31151832460732987,-0.13043478260869576
2010-04-26,Gulbis E.,Baghdatis M.,0.0,0.66,0.34,1.58,2.3,1.75,2.63,1.52,2.94,0.13142857142857142,-0.10544217687074832
